INDEX_CLASS,INDEX_NAME,SourceEntity,StationID,SampleID_Tt,SampleID,RepNum_new,CollDate,TaxaID,N_TAXA,NonTarget,Phylum,Class,Subclass,Order,Family,Subfamily,Tribe,Genus,BCG_Attr,FFG,Life_Cycle,Noteworthy
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Attenella delantala,23,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Ephemerellidae,NA,NA,Attenella,3,CG,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Baetis tricaudatus complex,23,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Baetidae,NA,NA,Baetis,4,CG,multi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Brillia,7,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,NA,Brillia,4,SH,multi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Chloroperlidae,2,FALSE,Arthropoda,Insecta,NA,Plecoptera,Chloroperlidae,NA,NA,NA,4,PR,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Cinygmula,45,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Heptageniidae,NA,NA,Cinygmula,3,SC,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Crangonyx,1,FALSE,Arthropoda,Malacostraca,NA,Amphipoda,Crangonyctidae,NA,NA,Crangonyx,5,CG,multi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Cricotopus,2,FALSE,Arthropoda,Insecta,NA,Diptera,Chironomidae,Orthocladiinae,NA,Cricotopus,4,MH,multi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Cryptochia,1,FALSE,Arthropoda,Insecta,NA,Trichoptera,Limnephilidae,Dicosmoecinae,NA,Cryptochia,3,SH,semi,TRUE
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Dicranota,1,FALSE,Arthropoda,Insecta,NA,Diptera,Pediciidae,Pediciinae,NA,Dicranota,4,PR,uni,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Diphetor hageni,4,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Baetidae,NA,NA,Diphetor,4,CG,multi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Doroneuria,4,FALSE,Arthropoda,Insecta,NA,Plecoptera,Perlidae,Acroneuriinae,Acroneuriini,Doroneuria,2,PR,semi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Drunella doddsii,8,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Ephemerellidae,NA,NA,Drunella,3,SC,semi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Drunella grandis/spinifera,3,FALSE,Arthropoda,Insecta,NA,Ephemeroptera,Ephemerellidae,NA,NA,Drunella,3,PR,semi,NA
HiGrad-HiElev,BCG_MariNW_Bugs500ct,King County - DNRP,2363,Tt_524,8160_13009,13009,9/21/2015,Ecclisomyia,1,FALSE,Arthropoda,Insecta,NA,Trichoptera,Limnephilidae,Dicosmoecinae,NA,Ecclisomyia,2,OM,semi,NA
