TaxaID,SampleID,CollDate,N_TAXA,Changed,Rationale,OTU_BCG_MariNW,Match_Official,NonTarget,BCG_attr,FFG,Life_Cycle,Habitat,Noteworthy,Thermal_indicator,ThermTol_Less30,MWMT_WAopt,MWMT_PCT90,Therm_TopIndicator,ThermVar,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species,Taxon_Group
Agapetus,05014REF,8/3/2005,46,no,,Agapetus,TRUE,FALSE,3,SC,uni,RHEO,NA,cowa,,19.44598941,22.33,,,117121,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Agapetinae,,,Agapetus,,,,,,Trichoptera
Agapetus,05014REFa,8/3/2005,40,no,,Agapetus,TRUE,FALSE,3,SC,uni,RHEO,NA,cowa,,19.44598941,22.33,,,117121,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Glossosomatidae,Agapetinae,,,Agapetus,,,,,,Trichoptera
Allocosmoecus partitus,05014REF,8/3/2005,1,yes,single species in genus,Allocosmoecus,TRUE,FALSE,2,SC,uni,HEAD,TRUE,cool,,17.01025022,20.425,,,115969,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Limnephilidae,Dicosmoecinae,,,Allocosmoecus,,,,,,Trichoptera
Ameletus,05014REF,8/3/2005,1,no,,Ameletus,TRUE,FALSE,3,SC,uni,RHEO,NA,cool,,14.95703404,20.01,cool,,100996,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ameletidae,,,,Ameletus,,,,,,Ephemeroptera
Ameletus,06095DFW,8/7/2006,2,no,,Ameletus,TRUE,FALSE,3,SC,uni,RHEO,NA,cool,,14.95703404,20.01,cool,,100996,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Ephemeroptera,Pisciforma,,Ameletidae,,,,Ameletus,,,,,,Ephemeroptera
Ampumixis dispar,05014REF,8/3/2005,10,yes,only one species in Genus,Ampumixis,TRUE,FALSE,2,CG,semi,RHEO,NA,cool,,17.92443569,20.828,,,114196,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Ampumixis,,,,,,Coleoptera
Ampumixis dispar,05014REFa,8/3/2005,21,yes,only one species in Genus,Ampumixis,TRUE,FALSE,2,CG,semi,RHEO,NA,cool,,17.92443569,20.828,,,114196,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Coleoptera,Polyphaga,,Elmidae,,,,Ampumixis,,,,,,Coleoptera
Antocha,05014REFa,8/3/2005,23,no,,Antocha,TRUE,FALSE,4,CG,multi,RHEO,NA,cowa,,19.3527666,22.96,coolwarm,,119656,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Antocha,,,,,,Diptera
Antocha,05014REF,8/3/2005,24,no,,Antocha,TRUE,FALSE,4,CG,multi,RHEO,NA,cowa,,19.3527666,22.96,coolwarm,,119656,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Diptera,Nematocera,,Limoniidae,Limoniinae,,,Antocha,,,,,,Diptera
Apatania,05014REFa,8/3/2005,3,no,,Apatania,TRUE,FALSE,2,SC,uni,RHEO,TRUE,cold,,16.99728166,19.854,,,115935,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,Apataniinae,Apataniini,,Apatania,,,,,,Trichoptera
Apatania,05014REF,8/3/2005,5,no,,Apatania,TRUE,FALSE,2,SC,uni,RHEO,TRUE,cold,,16.99728166,19.854,,,115935,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Trichoptera,,,Apataniidae,Apataniinae,Apataniini,,Apatania,,,,,,Trichoptera
