"SAMPLEID","INDEX_NAME","INDEX_REGION","ni_total","nt_total"
"00001WSE","BCG_MariNW_Bugs500ct","HiGrad-HiElev",561,62
"00006CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",539,42
"00007CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",507,49
"00010WSE","BCG_MariNW_Bugs500ct","HiGrad-HiElev",567,56
"00051CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",544,41
"00060CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",531,47
"00071CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",513,41
"01059CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",509,44
"01094CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",496,39
"01110CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",476,50
"02038CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",499,44
"02044EMAP","BCG_MariNW_Bugs500ct","HiGrad-HiElev",507,51
"02048CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",519,44
"02048CSRa","BCG_MariNW_Bugs500ct","HiGrad-HiElev",496,41
"02060CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",501,40
"02065CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",500,27
"02069CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",507,38
"02093CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",569,37
"02101CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",543,45
"02102CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",530,36
"02104CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",527,45
"02107EMAP","BCG_MariNW_Bugs500ct","HiGrad-HiElev",532,52
"02139CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",498,45
"02139CSRd","BCG_MariNW_Bugs500ct","HiGrad-HiElev",461,37
"03002EMAP","BCG_MariNW_Bugs500ct","HiGrad-HiElev",535,64
"03003EMAP","BCG_MariNW_Bugs500ct","HiGrad-HiElev",523,62
"03006EMAP","BCG_MariNW_Bugs500ct","HiGrad-HiElev",506,67
"03033CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",589,52
"03044CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",593,57
"03047CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",580,43
"03060CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",561,46
"03061CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",514,50
"03062CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",589,47
"03066CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",532,51
"03068CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",497,42
"03074CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",569,41
"03079CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",544,41
"03085CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",539,40
"03087CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",566,34
"03095CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",577,52
"03108CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",588,42
"03118CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",596,46
"03131CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",567,37
"04005CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",517,48
"04006CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",585,44
"04028CSR","BCG_MariNW_Bugs500ct","HiGrad-HiElev",564,43
"05013REF","BCG_MariNW_Bugs500ct","HiGrad-HiElev",542,45
"05014REF","BCG_MariNW_Bugs500ct","HiGrad-HiElev",477,53
"05014REFa","BCG_MariNW_Bugs500ct","HiGrad-HiElev",518,48
"06002CSRa","BCG_MariNW_Bugs500ct","HiGrad-HiElev",555,38
"06025DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",558,51
"06095DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",545,48
"06162DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",583,44
"07002DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",555,54
"07013DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",525,34
"07028DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",554,55
"07029DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",575,47
"07029DFWd","BCG_MariNW_Bugs500ct","HiGrad-HiElev",553,45
"08048DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",572,49
"08107DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",560,52
"08109DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",536,55
"08117DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",528,53
"08117DFWd","BCG_MariNW_Bugs500ct","HiGrad-HiElev",594,51
"09015DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",594,44
"09015DFWd","BCG_MariNW_Bugs500ct","HiGrad-HiElev",568,42
"09054DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",585,46
"09106DFW","BCG_MariNW_Bugs500ct","HiGrad-HiElev",548,56
"14005RBS","BCG_MariNW_Bugs500ct","HiGrad-HiElev",557,51
"14008RBS","BCG_MariNW_Bugs500ct","HiGrad-HiElev",522,63
"14015RBS","BCG_MariNW_Bugs500ct","HiGrad-HiElev",523,44
"15009TRD","BCG_MariNW_Bugs500ct","HiGrad-HiElev",558,63
"15010TRD","BCG_MariNW_Bugs500ct","HiGrad-HiElev",522,42
"16001TRD","BCG_MariNW_Bugs500ct","HiGrad-HiElev",563,45
