"SAMPLEID","INDEX_NAME","SITE_TYPE","L1","L2","L3","L4","L5","L6"
"00001WSE","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"00006CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.2,0.8,0,0,0
"00007CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.137573964497043,0.86242604,0,0,0
"00010WSE","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.28571428571429,0.71428571,0,0,0
"00051CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.0999999999999996,0.9,0,0,0
"00060CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.93617021276596,0.06382979,0,0
"00071CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"01059CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.3,0.7,0,0,0
"01094CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.9,0.1,0,0
"01110CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"02038CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.63636363636364,0.36363636,0,0
"02044EMAP","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.9,0.1,0,0,0
"02048CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.12138728323699,0.87861272,0,0,0
"02048CSRa","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.0999999999999996,0.9,0,0,0
"02060CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"02065CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,0.4,0.6,0
"02069CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.8,0.2,0,0
"02093CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.7,0.3,0,0
"02101CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.5,0.5,0,0,0
"02102CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.23584905660377,0.76415094,0,0
"02104CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.5,0.5,0,0,0
"02107EMAP","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.166666666666667,0.83333333,0,0,0
"02139CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.5,0.5,0,0,0
"02139CSRd","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.7,0.3,0,0
"03002EMAP","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.9,0.1,0,0,0
"03003EMAP","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"03006EMAP","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.97233201581028,0.02766798,0,0,0
"03033CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"03044CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,1,0,0,0,0
"03047CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,1,0,0,0
"03060CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.20855614973262,0.79144385,0,0,0
"03061CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.3852140077821,0.61478599,0,0,0
"03062CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.7,0.3,0,0,0
"03066CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.98496240601504,0.01503759,0,0,0
"03068CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.2,0.8,0,0,0
"03074CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.0999999999999996,0.9,0,0,0
"03079CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.70588235294118,0.29411765,0,0
"03085CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.9,0.1,0,0
"03087CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.4,0.6,0,0
"03095CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.7,0.3,0,0,0
"03108CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.2,0.8,0,0,0
"03118CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.6,0.4,0,0,0
"03131CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.7,0.3,0,0
"04005CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.72437137330754,0.27562863,0,0
"04006CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.4,0.6,0,0,0
"04028CSR","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.3,0.7,0,0,0
"05013REF","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.0999999999999999,0.9,0,0,0
"05014REF","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.7,0.3,0,0,0
"05014REFa","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.2,0.8,0,0,0
"06002CSRa","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.8,0.2,0,0
"06025DFW","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.4,0.6,0,0,0
"06095DFW","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.259174311926605,0.74082569,0,0,0
"06162DFW","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0.31818181818182,0.68181818,0,0
"07002DFW","BCG_MariNW_Bugs500ct","higrad-hielev",0,0.3,0.7,0,0,0
"07013DFW","BCG_MariNW_Bugs500ct","higrad-hielev",0,0,0,1,0,0
