"SampleID","L1","L2","L3","L4","L5","L6","Memb.Total","Memb.QC","Lev.1.Memb","Lev.1.Name","Lev.2.Memb","Lev.2.Name","Lev.Memb.Diff","Lev.Memb.close","Lev.Prop.Num","Lev.Prop.Nar"
"00001WSE",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"00006CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"00007CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"00010WSE",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"00051CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"00060CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"00071CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"01059CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"01094CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"01110CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"02038CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"02044EMAP",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"02048CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"02048CSRa",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"02060CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"02065CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"02069CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"02093CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"02101CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"02102CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
"02104CSR",0,0,0,0,0,1,1,"PASS",1,6,0,NA,1,NA,6,"6"
