"","flag","NA"
"brackish organisms present",0,3
"disturbance signal, high percent Baetis tricaudatus complex + Simuliidae individs",0,3
"disturbance signal, high proportion multivoltine taxa",0,3
"EPT, missing caddisfly taxa",0,3
"EPT, missing mayfly taxa",0,3
"EPT, missing stonefly taxa",0,3
"high number of Juga or Fluminicola individs",0,3
"high percent mite individs",0,3
"high proportion Chironomidae individs",0,3
"high proportion dominant 02 individs",0,3
"high proportion Oligochaeta individs",0,3
"individuals, large",0,3
"individuals, small",0,3
"missing BCG_Attr assignment",1,2
"missing beetle taxa",0,3
"nutrient signal, high proportion collector gatherer and filterer individs",0,3
"soft bottom substrate signal, high proportion Corbiculidae + Sphaeriidae individs",0,3
"soft bottom substrate signal, high proportion Odonate individs",0,3
"urban signal, high proportion Crangonyx+Caecidotea+Gammarus individs",0,3
